Domain;URL;Status;Source;Rank;Updated at;Confidence;LLM Reasoning;Case Management Status
phrongmaduea.nakhonpathom.police.go.th;https://phrongmaduea.nakhonpathom.police.go.th/%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%AA%E0%B8%B7%E0%B8%9A%E0%B8%AA%E0%B8%A7%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%9A%E0%B8%81%E0%B8%B8%E0%B8%A1%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B8%A5%E0%B8%AD%E0%B8%9A%E0%B9%80/;Not gambling;Google Search (บ่อนออนไลน์);;2026-08-31T12:15:00.000591Z;;;
doe.go.th;https://www.doe.go.th/prd/download/download_by_pool_file/56631;Not gambling;Google Search (อัตราการจ่าย);;2026-08-31T12:15:00.000591Z;;;
multi.dopa.go.th;https://multi.dopa.go.th/secofdopa/news/cate10/view115;Not gambling;Google Search (เสี่ยงโชค);;2026-08-31T12:15:00.000591Z;;;
tclmh.org;https://tclmh.org/th/?video=%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%9A%E0%B8%AD%E0%B8%A5%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%9B-%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%9A%E0%B8%AD%E0%B8%A5%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B9%84%E0%B8%97%E0%B8%A2;Not gambling;Google Search (ราคาบอล);;2026-08-31T12:15:00.000591Z;;;
asiasociety.org;https://asiasociety.org/video/jerry-yang-and-akiko-yamazaki-accept-2023-asia-game-changer-award?page=424;Not gambling;Google Search (Asia Gaming);;2026-08-31T12:15:00.000591Z;;;
baps.org;https://www.baps.org/News/2026/International-Womens-Day-Celebration-2026--Give-to-Gain-31627.aspx;Not gambling;Google Search (สายปั่น);;2026-08-31T12:15:00.000591Z;;;
ia.psd.ku.ac.th;https://ia.psd.ku.ac.th/v2/%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%93%E0%B8%91%E0%B9%8C%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%AD%E0%B8%B1%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%88%E0%B9%88/;Not gambling;Google Search (อัตราการจ่าย);;2026-08-31T12:15:00.000591Z;;;
northshorehealthgm.org;https://www.northshorehealthgm.org/%E0%B8%AA%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%95%E0%B8%9F%E0%B8%A3%E0%B8%B5%20%E0%B8%9C%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%A7%E0%B9%87%E0%B8%9A;Not gambling;Google Search (เครดิตฟรีไม่ต้องฝาก);;2026-08-31T12:15:00.000591Z;;;
muang.chiangrai.police.go.th;https://muang.chiangrai.police.go.th/%E0%B8%88%E0%B8%B1%E0%B8%9A%E0%B8%81%E0%B8%B8%E0%B8%A1%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%95%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%B2-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%99%E0%B8%81%E0%B8%B2/;Not gambling;Google Search (บ่อนออนไลน์);;2026-08-31T12:15:00.000591Z;;;
staugustinemusicfestival.org;https://staugustinemusicfestival.org/the-st-augustine-music-festival-presents-a-celebration-of-romantic-music/;Not gambling;Google Search (M8BET sportsbook);;2026-08-31T12:15:00.000591Z;;;
ipthailand.go.th;https://www.ipthailand.go.th/th/patent-009/item/e-patent-agent.html;Not gambling;Google Search (ตัวแทน);;2026-08-31T12:15:00.000591Z;;;
michigan.gov;https://www.michigan.gov/mgcb/news/2026/04/17/mgcb-approves-launch-of-bet365-in-michigan;Not gambling;Google Search (bet365);;2026-08-31T12:15:00.000591Z;;;
bot.or.th;https://www.bot.or.th/th/financial-innovation/digital-finance/digital-payment/promptpay.html;Not gambling;Google Search (พร้อมเพย์);;2026-08-31T12:15:00.000591Z;;;
db.legal.tu.ac.th;https://db.legal.tu.ac.th/020201-14-02/;Not gambling;Google Search (อัตราการจ่าย);;2026-08-31T12:15:00.000591Z;;;
smart.oic.or.th;https://smart.oic.or.th/eservice/Menu1;Not gambling;Google Search (ตัวแทน);;2026-08-31T12:15:00.000591Z;;;
lpg1.go.th;https://www.lpg1.go.th/eshop/?product=%E0%B9%80%E0%B8%A7%E0%B9%87%E0%B8%9A%20%E0%B8%AA%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%95%E0%B8%9D%E0%B8%B2%E0%B8%81%E0%B8%96%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B9%8D%E0%B8%B2;Not gambling;Google Search (ถอนไม่มีขั้นต่ำ);;2026-08-31T12:15:00.000591Z;;;
vfwco.org;https://vfwco.org/th/?view=%E0%B9%80%E0%B8%81%E0%B8%A1%E0%B9%82%E0%B8%9A%E0%B8%99%E0%B8%B1%E0%B8%99%E0%B8%8B%E0%B9%88%E0%B8%B2;Not gambling;Google Search (หมุนวงล้อโบนันซ่า);;2026-08-31T12:15:00.000591Z;;;
playingcard.or.th;https://playingcard.or.th/th/%E0%B8%87%E0%B8%9A%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99/;Not gambling;Google Search (ไพ่);;2026-08-31T12:15:00.000591Z;;;
maeka.chiangmai.police.go.th;https://maeka.chiangmai.police.go.th/%E0%B8%95%E0%B8%B3%E0%B8%A3%E0%B8%A7%E0%B8%88%E0%B8%A0%E0%B8%B9%E0%B8%98%E0%B8%A3%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83-2/;Not gambling;Google Search (บ่อนออนไลน์);;2026-08-31T12:15:00.000591Z;;;
podareducation.org;https://www.podareducation.org/school/ahmednagar/principalsmessage1522;Not gambling;Google Search (pgslot);;2026-08-31T12:15:00.000591Z;;;
mohali.amity.edu;https://mohali.amity.edu/amity-school-of-social-sciences/faculty.aspx;Not gambling;Google Search (สายปั่น);;2026-08-31T12:15:00.000591Z;;;
marketsquarechurch.org;https://www.marketsquarechurch.org/?list=brings&date=06-28&key=%E0%B9%80%E0%B8%A7%E0%B9%87%E0%B8%9A%E0%B8%95%E0%B8%A3%E0%B8%87%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%9C%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AD%E0%B9%80%E0%B8%A2%E0%B9%88%E0%B8%99%E0%B8%95%E0%B9%8C-%E0%B8%9D%E0%B8%B2%E0%B8%81%E0%B8%96%E0%B8%AD%E0%B8%99-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%95%E0%B9%88%E0%B9%8D%E0%B8%B2;Not gambling;Google Search (เอเย่นต์);;2026-08-31T12:15:00.000591Z;;;
bb.go.th;https://www.bb.go.th/topic.php?gid=240&mid=282;Not gambling;Google Search (อัตราการจ่าย);;2026-08-31T12:15:00.000591Z;;;
federalismproject.org;https://www.federalismproject.org/thai-gambling-website/;Not gambling;Google Search (พนันออนไลน์);;2026-08-31T12:15:00.000591Z;;;
dot.go.th;https://www.dot.go.th/content-sharing/content-sharing-detail/18;Not gambling;Google Search (อัตราการจ่าย);;2026-08-31T12:15:00.000591Z;;;
fti.or.th;https://www.fti.or.th/Benefits-Of-FTI/Benefits_Of_fti;Not gambling;Google Search (สมัครสมาชิก);;2026-08-31T12:15:00.000591Z;;;
set.or.th;https://www.set.or.th/;Not gambling;Google Search (หวยหุ้น);;2026-08-31T12:15:00.000591Z;;;
tm.mahidol.ac.th;https://www.tm.mahidol.ac.th/finance/criteria-payment/;Not gambling;Google Search (อัตราการจ่าย);;2026-08-31T12:15:00.000591Z;;;
um.org;https://www.um.org/?list=windows&date=07-10&key=sbobet-%E0%B9%84%E0%B8%AE%E0%B9%82%E0%B8%A5;Not gambling;Google Search (ไฮโล);;2026-08-31T12:15:00.000591Z;;;
prt.parliament.go.th;https://prt.parliament.go.th/items/16a2b39a-7b32-47e3-951d-2856d5a9eb6e;Not gambling;Google Search (อัตราการจ่าย);;2026-08-31T12:15:00.000591Z;;;
wilkinson.co.ms.gov;https://www.wilkinson.co.ms.gov/business-startup-and-assistance;Not gambling;Google Search (เครดิตฟรี);;2026-08-31T12:15:00.000591Z;;;
evo-world.org;https://www.evo-world.org/en/?list=reveals&date=06-17&key=%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%99-%E0%B9%80%E0%B8%81%E0%B8%A1-%E0%B8%9F%E0%B8%A3%E0%B8%B5-%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99-%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%87-2026;Not gambling;Google Search (เล่นเงินจริง);;2026-08-31T12:15:00.000591Z;;;
so04.tci-thaijo.org;https://so04.tci-thaijo.org/index.php/KAB/article/view/247272;Not gambling;Google Search (อัตราการจ่าย);;2026-08-31T12:15:00.000591Z;;;
sercoop.psu.ac.th;https://sercoop.psu.ac.th/news_regist;Not gambling;Google Search (สมัครสมาชิก);;2026-08-31T12:15:00.000591Z;;;
e-training.tpqi.go.th;https://e-training.tpqi.go.th/register;Not gambling;Google Search (สมัครสมาชิก);;2026-08-31T12:15:00.000591Z;;;
schwimmbad-buchen.de;https://www.schwimmbad-buchen.de/baeder?list=hiddens&date=07-12&key=%E0%B8%95%E0%B8%A3%E0%B8%A7%E0%B8%88-%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%A5-%E0%B8%AA%E0%B8%A5%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%B4%E0%B8%99%E0%B9%81%E0%B8%9A%E0%B9%88%E0%B8%87-%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9A%E0%B8%B2%E0%B8%A5-%E0%B8%87%E0%B8%A7%E0%B8%94-%E0%B8%99%E0%B8%B5%E0%B9%89%E0%B9%80%E0%B8%A7%E0%B9%87%E0%B8%9A-%E0%B8%9E%E0%B8%99%E0%B8%B1%E0%B8%99-%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A5%E0%B8%99%E0%B9%8C-%E0%B8%94%E0%B8%B5-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%AA%E0%B8%B8%E0%B8%94-2026;Not gambling;Google Search (บ่อนออนไลน์);;2026-08-31T12:21:20.215135Z;95;URL: The URL is in Thai language and appears to be related to booking swimming pools, not online gambling.. Screenshot: The content on the screenshot is about an event or show in 2026, with no indicators of online gambling activities or betting options.;
prospectus.cput.ac.za;https://prospectus.cput.ac.za/?list=androids&date=07-08&key=%E0%B8%9E%E0%B8%99%E0%B8%B1%E0%B8%99-%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A5%E0%B8%99%E0%B9%8C-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%95%E0%B9%88%E0%B9%8D%E0%B8%B2;Not gambling;Google Search (บ่อนออนไลน์);;2026-08-31T12:21:29.607436Z;95;Screenshot: The website is titled 'Online Prospectus' which indicates it is an informational site for educational purposes.. Screenshot: The content includes images of students and educational icons, reinforcing the educational nature of the site.. Screenshot: There are no visible elements related to online gambling such as betting options, deposit buttons, or gambling-related advertisements.. URL: The URL contains terms related to education and prospectus, further indicating the site's focus on academic information.;
elypso.de;https://www.elypso.de/?list=catalogues&date=06-10&key=%E0%B8%9D%E0%B8%B2%E0%B8%8120%E0%B8%A3%E0%B8%B1%E0%B8%9A100-%E0%B8%A7%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%97%E0%B8%A5%E0%B9%88%E0%B8%B2%E0%B8%AA%E0%B8%B8%E0%B8%94;Not gambling;Google Search (เดิมพัน);2201804;2026-08-31T12:21:42.061570Z;95;"Screenshot: The website appears to be for a leisure and experience pool named Elypso, which offers various amenities such as saunas, massages, and wellness services.. Screenshot: There are no visible indicators of online gambling activities such as betting options, gambling games, or deposit features.. Screenshot: The site includes options for booking services, live chat, and other visitor services, but none related to gambling.. URL: The URL does not suggest any connection to online gambling; it appears to be related to a recreational facility.";
bg.pw.edu.pl;https://bg.pw.edu.pl/th/?view=%E0%B9%81%E0%B8%97%E0%B8%87%E0%B8%9A%E0%B8%AD%E0%B8%A5%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A5%E0%B8%99%E0%B9%8Cauto;Review needed;Google Search (แทงบอล);;2026-08-31T12:21:53.065466Z;10;Screenshot: The page displays an HTTP 404 error, indicating the content is unavailable.. URL: The URL structure and context suggest an educational or institutional website, not an online gambling platform.;
scghome.com;https://www.scghome.com/products/2000003019984;Not gambling;Google Search (โต๊ะบอล);363022;2026-08-31T12:22:00.291706Z;90;Screenshot: The page is blocked and displays a message indicating that the content is restricted and cannot be accessed from this location.. Screenshot: The page does not contain any elements related to online gambling such as betting options, casino games, or promotional offers for gambling activities.;
christikolexiko.academyofathens.gr;https://christikolexiko.academyofathens.gr/?list=essays&date=08-25&key=%E0%B8%97%E0%B8%94%E0%B8%A5%E0%B8%AD%E0%B8%87-%E0%B8%AA%E0%B8%A7%E0%B8%B5-%E0%B8%97-%E0%B9%82%E0%B8%9A-%E0%B8%99%E0%B8%B1-%E0%B8%99-%E0%B8%8B%E0%B9%88%E0%B8%B2;Review needed;Google Search (หมุนวงล้อโบนันซ่า);;2026-08-31T12:22:07.563054Z;10;URL: The website displays a 502 Bad Gateway error, indicating that the content is unavailable and the decision is limited.. URL: The URL path includes 'essays' and a date, suggesting an academic or informational context rather than online gambling.;
romedinf2019.umfcluj.ro;http://romedinf2019.umfcluj.ro/?list=sitemap&date=08-04&key=%E0%B8%84%E0%B8%B2-%E0%B8%AA%E0%B8%B4-%E0%B9%82%E0%B8%99-%E0%B8%A3%E0%B8%B9-%E0%B9%80%E0%B8%A5%E0%B9%87-%E0%B8%95;Not gambling;Google Search (รูเล็ต);;2026-08-31T12:22:15.111773Z;95;Screenshot: The website is about medical informatics and biostatistics, which is not related to online gambling.. Screenshot: The content includes educational materials and research methodologies, indicating an academic focus.. Screenshot: There are no visible elements such as betting options, gambling advertisements, or any other indicators of online gambling activities.. URL: The URL structure and content suggest it is a part of a university website, further confirming its educational nature.;
cemabasa.com;https://www.cemabasa.com/?date=0829&brand=188Bet&type=%E0%B9%80%E0%B8%A7%E0%B9%87%E0%B8%9A-%E0%B9%81%E0%B8%97%E0%B8%87-%E0%B8%9A%E0%B8%AD%E0%B8%A5-%E0%B8%9D%E0%B8%B2%E0%B8%81-%E0%B8%96%E0%B8%AD%E0%B8%99-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%95%E0%B9%88%E0%B8%B3;Review needed;Google Search (แทงบอล);;2026-08-31T12:22:25.446286Z;10;URL: The requested URL was not found on this server.. URL: A 404 Not Found error was encountered while trying to use an ErrorDocument to handle the request.;
wongnai.com;https://www.wongnai.com/restaurants/782346Ct-%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B9%81%E0%B8%9B%E0%B8%B0-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%94%E0%B8%B4%E0%B9%8C;Not gambling;Google Search (ปั่นแปะ);33284;2026-08-31T12:22:32.622533Z;95;URL: The URL indicates that the website is related to restaurants, specifically 'Ct %E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B9%81%E0%B8%9B%E0%B8%B0-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%A3%E0%B8%9E%E0%B8%A3%E0%B8%A3%E0%B8%94%E0%B8%B4%E0%B9%8C', which translates to a specific restaurant name.. Screenshot: The screenshot shows a page with images of food and a consent form for personal data usage, indicating the site is focused on restaurant reviews or information rather than online gambling.;
knu.kg;https://www.knu.kg/ky/wp-content/Article/?view=%E0%B8%9B%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B9%81%E0%B8%9B%E0%B8%B0%E0%B8%AD%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%A5%E0%B8%99%E0%B9%8C;Review needed;Google Search (ปั่นแปะ);672269;2026-08-31T12:22:45.356026Z;10;URL: The URL returns a 'Not Found' error, indicating the content is unavailable.. Screenshot: The screenshot shows a 'Not Found' message, confirming the page does not exist.;
th.y8.com;https://th.y8.com/tags/poker;Review needed;Google Search (โป๊กเกอร์);;2026-08-31T12:22:52.093705Z;80;URL: The URL path includes '/tags/poker', indicating the page is about poker-related content.. Screenshot: The page displays various poker-themed games with images of poker tables and cards, suggesting it is a collection of poker games.. Screenshot: There are no visible options to place real bets or deposit money, indicating these are likely free-to-play games.. Screenshot: The text and UI elements suggest these are casual games rather than real-money gambling activities.;
ks-gasteig.de;https://www.ks-gasteig.de/index.php/de/?list=catalogues&date=08-05&key=%E0%B9%80%E0%B8%A5%E0%B8%82-%E0%B8%8A%E0%B8%B8%E0%B8%94-%E0%B8%AB%E0%B8%A7%E0%B8%A2-%E0%B8%AB%E0%B8%B8%E0%B9%89%E0%B8%99-%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2-%E0%B8%97%E0%B8%B8%E0%B8%81-%E0%B8%A7%E0%B8%B1%E0%B8%99;Not gambling;Google Search (หวยหุ้น);3982802;2026-08-31T12:23:01.329578Z;95;Screenshot: The website features information about an opera performance, indicating it is related to cultural events rather than online gambling.. Screenshot: The text and images on the page are in German, aligning with the detected primary language of 'de'.. Screenshot: There are no visible elements such as betting options, deposit buttons, or gambling-related content that would indicate online gambling activities.;
papasqueens.com;https://papasqueens.com/;Illegal gambling;Google Search (หวยใต้ดิน);;2026-08-31T12:23:13.174650Z;95;Screenshot: The website prominently features images of mobile apps with gambling icons such as slots, poker, and other casino games.. Screenshot: The text includes phrases like 'เล่นจริง จ่ายจริง' which translates to 'Play real, pay real,' indicating real money gambling.. Screenshot: The website offers a 100% welcome bonus, a common promotion in online gambling to attract new players.. Screenshot: The 24-hour availability mentioned suggests continuous access to gambling activities.;Illegal gambling
icomos.pt;https://icomos.pt/?list=sitemap&date=06-27&key=%E0%B9%80%E0%B8%A7%E0%B9%87%E0%B8%9A%E0%B8%95%E0%B8%A3%E0%B8%87-%E0%B8%AA%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%95-%E0%B8%9D%E0%B8%B2%E0%B8%81%E0%B8%96%E0%B8%AD%E0%B8%99-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A1%E0%B8%B5%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%95%E0%B9%88%E0%B8%B3-1-%E0%B8%9A%E0%B8%B2%E0%B8%97%E0%B8%81%E0%B9%87-%E0%B8%96%E0%B8%AD%E0%B8%99%E0%B9%84%E0%B8%94%E0%B9%89;Not gambling;Google Search (ถอนไม่มีขั้นต่ำ);;2026-08-31T12:23:27.610605Z;95;URL: The website URL indicates it is related to ICOMOS Portugal, which is associated with cultural heritage and monuments.. Screenshot: The content on the page discusses heritage sites and UNESCO, indicating an informational focus on cultural heritage rather than online gambling.. Screenshot: There are no visible elements related to online gambling such as betting options, casino games, or promotional offers for gambling activities.. Screenshot: The navigation menu includes options like 'O que é o ICOMOS', 'Junte-se a nós', and 'Recursos', which are typical for an informational or membership-based organization rather than a gambling site.;
th.jobsdb.com;https://th.jobsdb.com/th/career-advice/article/14-part-time-job;Not gambling;Google Search (รายได้เสริม);;2026-08-31T12:23:38.199283Z;95;URL: The URL contains the term 'career-advice', indicating the content is likely related to career guidance and job searching rather than online gambling.. Screenshot: The content on the page is about '14 อาชีพสริมหลักเลิศกาน สร้างรายได้ให้มนุษย์เยินอิ่น' which translates to '14 Best Side Jobs to Earn Extra Income', suggesting it is an informational article about part-time jobs.. Screenshot: There are no visible elements such as betting slips, deposit buttons, or any other indicators of online gambling. The page focuses on career advice and job opportunities.;
krungsri.com;https://www.krungsri.com/th/krungsri-the-coach/life/good-life/earn-extra-income-at-home;Not gambling;Google Search (รายได้เสริม);82114;2026-08-31T12:23:48.810227Z;95;URL: The URL indicates that the website belongs to Krungsri, a bank, which typically offers financial services but not online gambling.. Screenshot: The content on the page discusses topics related to earning extra income at home, which is not related to online gambling.. Screenshot: There are no visible elements such as betting slips, deposit options, or 'play now' buttons that are typical indicators of online gambling sites.. Screenshot: The website appears to be informational, providing articles and tips on various topics, which aligns with a non-gambling classification.;
th.roboforex.com;https://th.roboforex.com/clients/promotions/welcome-program/;Not gambling;Google Search (โบนัสต้อนรับ);;2026-08-31T12:23:59.513885Z;90;URL: The URL path includes '/clients/promotions/welcome-program/', which suggests a promotional or informational page rather than an active gambling interface.. Screenshot: The content includes information about a welcome program and regulatory details, indicating an informational or promotional context rather than direct gambling activities.. Screenshot: There are no visible buttons or links for placing bets, depositing money, or playing games, which are typical indicators of online gambling.. Screenshot: The page primarily provides regulatory information and promotional content, lacking actionable gambling UI elements.;
grab.com;https://www.grab.com/th/blog/driver/%E0%B8%97%E0%B8%B3%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B0%E0%B9%84%E0%B8%A3%E0%B8%94%E0%B8%B5-%E0%B8%AD%E0%B8%B2%E0%B8%8A%E0%B8%B5%E0%B8%9E%E0%B9%80%E0%B8%AA%E0%B8%A3%E0%B8%B4%E0%B8%A1/;Not gambling;Google Search (รายได้เสริม);5300;2026-08-31T12:24:08.947582Z;95;Screenshot: The website contains content related to driving and using the Grab application, which is a ride-hailing and food delivery service.. Screenshot: There are no visible elements related to online gambling such as betting options, casino games, or gambling promotions.. Screenshot: The content is informational, focusing on tips and advice for drivers, which is not related to gambling activities.. URL: The URL structure and content indicate it is a blog post about driving tips, further confirming the non-gambling nature of the website.;
truemoney.com;https://www.truemoney.com/;Review needed;Google Search (ทรูวอลเล็ต);52104;2026-08-31T12:24:19.650884Z;10;Screenshot: The website content is blocked and unavailable due to a security solution triggered by Cloudflare.;
seller-th.tiktok.com;https://seller-th.tiktok.com/university/essay?knowledge_id=6837808312370945&lang=th-TH;Not gambling;Google Search (ค่าคอม);;2026-08-31T12:24:25.773203Z;95;Screenshot: The page is a guide about TikTok Shop Non-Mall, which is an educational resource and does not contain any gambling-related content.. Screenshot: The content is informational, focusing on how to use TikTok Shop features, and lacks any actionable betting or gambling UI elements.. Screenshot: The text and navigation suggest it is part of TikTok's educational resources, not related to online gambling.. URL: The URL path includes 'university/essay', indicating it is an educational resource, not a gambling site.;
